127.0.0.1 - - [25/Feb/2017:15:26:23 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:04:14 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:05:32 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:05:44 -0800] "GET /Assignment_2/FileChooserServlet?infile=%09%09%09%09%09System.out.println%28movieField.getFirstChild%28%29.getTextContent%28%29%29%3B HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:05:44 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:05:46 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:05:46 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:06:34 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:07:23 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:07:26 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:07:26 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:07:28 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:09:08 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:09:08 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:09:10 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:12:14 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:14:24 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1730
