127.0.0.1 - - [09/May/2017:09:00:45 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:46 -0700] "GET /haley_website/index.html HTTP/1.1" 200 22316
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:46 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:46 -0700] "GET /haley_website/js/jquery.interactive_bg.js HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:46 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:46 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:46 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:47 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/index.html HTTP/1.1" 200 22316
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/js/jquery.interactive_bg.js HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:56 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [09/May/2017:09:00:59 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2017:09:02:15 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23606
0:0:0:0:0:0:0:1 - - [09/May/2017:09:02:15 -0700] "GET /haley_website/js/jquery.interactive_bg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:04:51 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23627
0:0:0:0:0:0:0:1 - - [09/May/2017:09:04:51 -0700] "GET /haley_website/js/jquery.interactive_bg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:53 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23620
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:53 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:53 -0700] "GET /haley_website/js/jquery.interactive_bg.js HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:53 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:53 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:53 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:54 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [09/May/2017:09:07:54 -0700] "GET /haley_website/bg.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/May/2017:09:08:25 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23627
0:0:0:0:0:0:0:1 - - [09/May/2017:09:08:25 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [09/May/2017:09:08:25 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [09/May/2017:09:08:25 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [09/May/2017:09:08:25 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [09/May/2017:09:08:25 -0700] "GET /haley_website/js/jquery.interactive_bg.js HTTP/1.1" 200 6475
