0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:17 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:17 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:17 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:17 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:17 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:17 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:26 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:26 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:26 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:26 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:26 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:26 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:08:51 -0700] "GET /haley_website/index.html HTTP/1.1" 200 10817
0:0:0:0:0:0:0:1 - - [08/May/2017:09:09:37 -0700] "GET /haley_website/index.html HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [08/May/2017:09:09:37 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:09:37 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:09:37 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:09:37 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:09:37 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:13:57 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23004
0:0:0:0:0:0:0:1 - - [08/May/2017:09:13:57 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:13:57 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:13:57 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:09:13:57 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:09:13:57 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:16:06 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23009
0:0:0:0:0:0:0:1 - - [08/May/2017:09:16:06 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:16:06 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:16:06 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:16:06 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:16:06 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:40 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23009
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:40 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:40 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:40 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:40 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:41 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:29:49 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23006
0:0:0:0:0:0:0:1 - - [08/May/2017:09:30:04 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23006
0:0:0:0:0:0:0:1 - - [08/May/2017:09:30:22 -0700] "GET /haley_website/index.html HTTP/1.1" 200 23013
0:0:0:0:0:0:0:1 - - [08/May/2017:09:30:37 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [08/May/2017:09:37:53 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [08/May/2017:09:37:53 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:37:53 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:37:53 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:37:53 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:37:54 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:38:09 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [08/May/2017:09:38:20 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [08/May/2017:09:38:38 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:05 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:39 -0700] "GET /haley_website/about.html HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:39 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:39 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:09:40:39 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
